Presentation,Barycenter_Type,Mean,Max,Max_Time,Subject,Region,Relevance,Stimulus,Barycenter_Method
Onset,Squared,0.7133163368202763,8.206958264285188,375,sub-CA113,CS_PFC,Irrelevant,letter,dtw
Offset,Squared,0.6183729368307641,6.935592179630042,269,sub-CA113,CS_PFC,Irrelevant,letter,dtw
Onset,Original,0.012337544762914054,3.731902236081548,348,sub-CA113,CS_PFC_abs,Irrelevant,letter,dtw
Offset,Original,0.030446968586918487,3.0437279622157813,918,sub-CA113,CS_PFC_abs,Irrelevant,letter,dtw
Onset,Squared,0.5988866131449996,13.927094299670458,348,sub-CA113,CS_PFC_abs,Irrelevant,letter,dtw
Offset,Squared,0.6339189490556574,9.264279907974233,918,sub-CA113,CS_PFC_abs,Irrelevant,letter,dtw
Onset,Original,0.004421462409324737,2.0260405096284413,326,sub-CA113,CS_VIS,Irrelevant,letter,dtw
Offset,Original,-0.0042351503068254704,2.1729432825974637,803,sub-CA113,CS_VIS,Irrelevant,letter,dtw
Onset,Squared,0.44319918378476003,8.658400831222037,108,sub-CA113,CS_VIS,Irrelevant,letter,dtw
Offset,Squared,0.4736295503944671,4.721682509385441,803,sub-CA113,CS_VIS,Irrelevant,letter,dtw
Onset,Original,0.027062864756054524,3.4559622990734193,108,sub-CA113,CS_VIS_abs,Irrelevant,letter,dtw
Offset,Original,0.02548514583733297,3.074227609084515,166,sub-CA113,CS_VIS_abs,Irrelevant,letter,dtw
Onset,Squared,0.6335028772351974,11.943675412616834,108,sub-CA113,CS_VIS_abs,Irrelevant,letter,dtw
Offset,Squared,0.6812324862157679,9.450875392457492,166,sub-CA113,CS_VIS_abs,Irrelevant,letter,dtw
Onset,Original,-4.649405513714942e-16,2.333877748613849,230,sub-CA113,CS_PFC,Relevant non-target,letter,euclidean
Offset,Original,-7.815970093361102e-17,2.7503892848651548,438,sub-CA113,CS_PFC,Relevant non-target,letter,euclidean
Onset,Squared,0.44794419345338937,5.4469853454748485,230,sub-CA113,CS_PFC,Relevant non-target,letter,euclidean
Offset,Squared,0.5875776982848435,7.564641218301057,438,sub-CA113,CS_PFC,Relevant non-target,letter,euclidean
Onset,Original,-1.0647493542858645e-16,2.257563200100769,627,sub-CA113,CS_PFC_abs,Relevant non-target,letter,euclidean
Offset,Original,7.638334409421076e-17,3.307446631406272,298,sub-CA113,CS_PFC_abs,Relevant non-target,letter,euclidean
Onset,Squared,0.468916954868566,5.096591602449225,627,sub-CA113,CS_PFC_abs,Relevant non-target,letter,euclidean
Offset,Squared,0.5341061719533086,10.939203219600694,298,sub-CA113,CS_PFC_abs,Relevant non-target,letter,euclidean
Onset,Original,-3.549164514286215e-17,1.7265194971248354,217,sub-CA113,CS_VIS,Relevant non-target,letter,euclidean
Offset,Original,1.403321903126198e-16,1.3327778043567757,516,sub-CA113,CS_VIS,Relevant non-target,letter,euclidean
Onset,Squared,0.3210889549396496,2.9808695739521944,217,sub-CA113,CS_VIS,Relevant non-target,letter,euclidean
Offset,Squared,0.25013527609882763,2.246704053184538,848,sub-CA113,CS_VIS,Relevant non-target,letter,euclidean
Onset,Original,4.6139138685720794e-17,3.043315081336841,975,sub-CA113,CS_VIS_abs,Relevant non-target,letter,euclidean
Offset,Original,1.509903313490213e-16,4.502109218749162,151,sub-CA113,CS_VIS_abs,Relevant non-target,letter,euclidean
Onset,Squared,0.5368527938311053,9.261766684292263,975,sub-CA113,CS_VIS_abs,Relevant non-target,letter,euclidean
Offset,Squared,0.6060728317584008,20.26898741754619,151,sub-CA113,CS_VIS_abs,Relevant non-target,letter,euclidean
Onset,Original,-0.002617004130014601,2.4274500590191295,230,sub-CA113,CS_PFC,Relevant non-target,letter,dtw
Offset,Original,0.0028534304534668566,2.7540855939360993,666,sub-CA113,CS_PFC,Relevant non-target,letter,dtw
Onset,Squared,0.4831614403646092,5.892513789031975,230,sub-CA113,CS_PFC,Relevant non-target,letter,dtw
Offset,Squared,0.6406057336955278,7.584987458726357,666,sub-CA113,CS_PFC,Relevant non-target,letter,dtw
Onset,Original,0.029544764040988408,3.046906444165689,347,sub-CA113,CS_PFC_abs,Relevant non-target,letter,dtw
Offset,Original,0.035550437075474194,3.6665946548195656,151,sub-CA113,CS_PFC_abs,Relevant non-target,letter,dtw
Onset,Squared,0.5990307744404952,9.283638879498403,347,sub-CA113,CS_PFC_abs,Relevant non-target,letter,dtw
Offset,Squared,0.6716153720510565,13.443916362751409,151,sub-CA113,CS_PFC_abs,Relevant non-target,letter,dtw
Onset,Original,-0.00032383323722410824,2.196790553601523,217,sub-CA113,CS_VIS,Relevant non-target,letter,dtw
Offset,Original,0.005562830002772682,2.2686465949209134,666,sub-CA113,CS_VIS,Relevant non-target,letter,dtw
Onset,Squared,0.4538851132332432,5.447079911191909,151,sub-CA113,CS_VIS,Relevant non-target,letter,dtw
Offset,Squared,0.402149279503312,7.086932728274501,233,sub-CA113,CS_VIS,Relevant non-target,letter,dtw
Onset,Original,0.01218881096523225,3.043315081336841,975,sub-CA113,CS_VIS_abs,Relevant non-target,letter,dtw
Offset,Original,0.01310448540582398,4.831153005077724,151,sub-CA113,CS_VIS_abs,Relevant non-target,letter,dtw
Onset,Squared,0.6134633167752518,9.261766684292263,975,sub-CA113,CS_VIS_abs,Relevant non-target,letter,dtw
Offset,Squared,0.7041483084510288,23.34003935847152,151,sub-CA113,CS_VIS_abs,Relevant non-target,letter,dtw
Onset,Original,-4.400963997714906e-16,2.38152496891655,296,sub-CA113,CS_PFC,Irrelevant,object,euclidean
Offset,Original,-1.1368683772161603e-16,2.010736500048612,749,sub-CA113,CS_PFC,Irrelevant,object,euclidean
Onset,Squared,0.7291429736212411,5.6716611775729735,296,sub-CA113,CS_PFC,Irrelevant,object,euclidean
Offset,Squared,0.506826117614879,4.834080714814089,319,sub-CA113,CS_PFC,Irrelevant,object,euclidean
Onset,Original,-4.826863739429252e-16,2.836407107736853,296,sub-CA113,CS_PFC_abs,Irrelevant,object,euclidean
Offset,Original,-1.5809575870662228e-16,2.528961022665866,749,sub-CA113,CS_PFC_abs,Irrelevant,object,euclidean
Onset,Squared,0.7085820931091719,8.04520528082014,296,sub-CA113,CS_PFC_abs,Irrelevant,object,euclidean
Offset,Squared,0.5060400938505286,6.395643854163182,749,sub-CA113,CS_PFC_abs,Irrelevant,object,euclidean
Onset,Original,2.7506024985718164e-16,1.4084470428088052,440,sub-CA113,CS_VIS,Irrelevant,object,euclidean
Offset,Original,1.4566126083082054e-16,2.1747177411084557,629,sub-CA113,CS_VIS,Irrelevant,object,euclidean
Onset,Squared,0.21593537315358646,1.9837230723968682,440,sub-CA113,CS_VIS,Irrelevant,object,euclidean
Offset,Squared,0.37326824853554263,5.173571920387908,184,sub-CA113,CS_VIS,Irrelevant,object,euclidean
Onset,Original,-4.542930578286355e-16,3.073192592807822,279,sub-CA113,CS_VIS_abs,Irrelevant,object,euclidean
Offset,Original,-8.526512829121202e-17,3.4543101723732743,716,sub-CA113,CS_VIS_abs,Irrelevant,object,euclidean
Onset,Squared,0.6258256246672508,9.444512712488864,279,sub-CA113,CS_VIS_abs,Irrelevant,object,euclidean
Offset,Squared,0.5007141808712932,11.93225876696148,716,sub-CA113,CS_VIS_abs,Irrelevant,object,euclidean
Onset,Original,-0.0016396104713780712,2.4744122638743313,405,sub-CA113,CS_PFC,Irrelevant,object,dtw
Offset,Original,0.00743615003637013,2.2109569585078925,273,sub-CA113,CS_PFC,Irrelevant,object,dtw
Onset,Squared,0.7679647415186276,6.122716051611693,405,sub-CA113,CS_PFC,Irrelevant,object,dtw
Offset,Squared,0.5767124499972465,5.451011945219962,599,sub-CA113,CS_PFC,Irrelevant,object,dtw
Onset,Original,0.008178804232715973,2.968867500424525,296,sub-CA113,CS_PFC_abs,Irrelevant,object,dtw
Offset,Original,0.006253974827776668,2.5774025568466645,749,sub-CA113,CS_PFC_abs,Irrelevant,object,dtw
Onset,Squared,0.7292878725940907,8.814174235076965,296,sub-CA113,CS_PFC_abs,Irrelevant,object,dtw
Offset,Squared,0.6200807754852976,6.643003940039724,749,sub-CA113,CS_PFC_abs,Irrelevant,object,dtw
Onset,Original,0.007754872482925371,1.8507391003554714,9,sub-CA113,CS_VIS,Irrelevant,object,dtw
Offset,Original,-0.013771927958806149,2.26931613953135,629,sub-CA113,CS_VIS,Irrelevant,object,dtw
Onset,Squared,0.3010085017546334,4.093536546791506,480,sub-CA113,CS_VIS,Irrelevant,object,dtw
Offset,Squared,0.5103061741540063,5.149795741137469,629,sub-CA113,CS_VIS,Irrelevant,object,dtw
